Cow no,Weight(kg),Increase Weight,Total Feed(kg),Corn(ভুট্টা)(kg),Khail(খৈল)(kg),Khor(খর)(kg),Green Grass(kg),Sailase(সাইলেস)(kg),Wheat Husk(kg),Madicine,Water,Current,Coil,Worker,Total cost(tk),Milk(Ltr.),kids income,kids cost,Milk Income,Milk Revenue,Kids Revenue,Total_Revenue,profit
735,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
736,271,271.1232,8.13,1.626,0.9756,0.6504,2.439,0.813,1.626,30,6.66,3.33,10,66,298.102,4.065,49.01960784,13.7254902,325.2,27.098,35.29411765,62.39211765,1
737,359,359.1232,10.77,2.154,1.2924,0.8616,3.231,1.077,2.154,30,6.66,3.33,10,66,357.238,5.385,49.01960784,13.7254902,430.8,73.562,35.29411765,108.8561176,1
738,284,284.1232,8.52,1.704,1.0224,0.6816,2.556,0.852,1.704,30,6.66,3.33,10,66,306.838,4.26,49.01960784,13.7254902,340.8,33.962,35.29411765,69.25611765,1
739,330,330.1232,9.9,1.98,1.188,0.792,2.97,0.99,1.98,30,6.66,3.33,10,66,337.75,4.95,49.01960784,13.7254902,396,58.25,35.29411765,93.54411765,1
740,327,327.1232,9.81,1.962,1.1772,0.7848,2.943,0.981,1.962,30,6.66,3.33,10,66,335.734,4.905,49.01960784,13.7254902,392.4,56.666,35.29411765,91.96011765,1
741,342,342.1232,10.26,2.052,1.2312,0.8208,3.078,1.026,2.052,30,6.66,3.33,10,66,345.814,5.13,49.01960784,13.7254902,410.4,64.586,35.29411765,99.88011765,1
742,282,282.1232,8.46,1.692,1.0152,0.6768,2.538,0.846,1.692,30,6.66,3.33,10,66,305.494,4.23,49.01960784,13.7254902,338.4,32.906,35.29411765,68.20011765,1
743,386,386.1232,11.58,2.316,1.3896,0.9264,3.474,1.158,2.316,30,6.66,3.33,10,66,375.382,5.79,49.01960784,13.7254902,463.2,87.818,35.29411765,123.1121176,1
744,371,371.1232,11.13,2.226,1.3356,0.8904,3.339,1.113,2.226,30,6.66,3.33,10,66,365.302,5.565,49.01960784,13.7254902,445.2,79.898,35.29411765,115.1921176,1
745,354,354.1232,10.62,2.124,1.2744,0.8496,3.186,1.062,2.124,30,6.66,3.33,10,66,353.878,5.31,49.01960784,13.7254902,424.8,70.922,35.29411765,106.2161176,1
746,328,328.1232,9.84,1.968,1.1808,0.7872,2.952,0.984,1.968,30,6.66,3.33,10,66,336.406,4.92,49.01960784,13.7254902,393.6,57.194,35.29411765,92.48811765,1
747,386,386.1232,11.58,2.316,1.3896,0.9264,3.474,1.158,2.316,30,6.66,3.33,10,66,375.382,5.79,49.01960784,13.7254902,463.2,87.818,35.29411765,123.1121176,1
748,364,364.1232,10.92,2.184,1.3104,0.8736,3.276,1.092,2.184,30,6.66,3.33,10,66,360.598,5.46,49.01960784,13.7254902,436.8,76.202,35.29411765,111.4961176,1
749,234,234.1232,7.02,1.404,0.8424,0.5616,2.106,0.702,1.404,30,6.66,3.33,10,66,273.238,3.51,49.01960784,13.7254902,280.8,7.562,35.29411765,42.85611765,1
750,394,394.1232,11.82,2.364,1.4184,0.9456,3.546,1.182,2.364,30,6.66,3.33,10,66,380.758,5.91,49.01960784,13.7254902,472.8,92.042,35.29411765,127.3361176,1
751,391,391.1232,11.73,2.346,1.4076,0.9384,3.519,1.173,2.346,30,6.66,3.33,10,66,378.742,5.865,49.01960784,13.7254902,469.2,90.458,35.29411765,125.7521176,1
752,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
753,330,330.1232,9.9,1.98,1.188,0.792,2.97,0.99,1.98,30,6.66,3.33,10,66,337.75,4.95,49.01960784,13.7254902,396,58.25,35.29411765,93.54411765,1
754,361,361.1232,10.83,2.166,1.2996,0.8664,3.249,1.083,2.166,30,6.66,3.33,10,66,358.582,5.415,49.01960784,13.7254902,433.2,74.618,35.29411765,109.9121176,1
755,267,267.1232,8.01,1.602,0.9612,0.6408,2.403,0.801,1.602,30,6.66,3.33,10,66,295.414,4.005,49.01960784,13.7254902,320.4,24.986,35.29411765,60.28011765,1
756,267,267.1232,8.01,1.602,0.9612,0.6408,2.403,0.801,1.602,30,6.66,3.33,10,66,295.414,4.005,49.01960784,13.7254902,320.4,24.986,35.29411765,60.28011765,1
757,394,394.1232,11.82,2.364,1.4184,0.9456,3.546,1.182,2.364,30,6.66,3.33,10,66,380.758,5.91,49.01960784,13.7254902,472.8,92.042,35.29411765,127.3361176,1
758,385,385.1232,11.55,2.31,1.386,0.924,3.465,1.155,2.31,30,6.66,3.33,10,66,374.71,5.775,49.01960784,13.7254902,462,87.29,35.29411765,122.5841176,1
759,280,280.1232,8.4,1.68,1.008,0.672,2.52,0.84,1.68,30,6.66,3.33,10,66,304.15,4.2,49.01960784,13.7254902,336,31.85,35.29411765,67.14411765,1
760,349,349.1232,10.47,2.094,1.2564,0.8376,3.141,1.047,2.094,30,6.66,3.33,10,66,350.518,5.235,49.01960784,13.7254902,418.8,68.282,35.29411765,103.5761176,1
761,314,314.1232,9.42,1.884,1.1304,0.7536,2.826,0.942,1.884,30,6.66,3.33,10,66,326.998,4.71,49.01960784,13.7254902,376.8,49.802,35.29411765,85.09611765,1
762,312,312.1232,9.36,1.872,1.1232,0.7488,2.808,0.936,1.872,30,6.66,3.33,10,66,325.654,4.68,49.01960784,13.7254902,374.4,48.746,35.29411765,84.04011765,1
763,324,324.1232,9.72,1.944,1.1664,0.7776,2.916,0.972,1.944,30,6.66,3.33,10,66,333.718,4.86,49.01960784,13.7254902,388.8,55.082,35.29411765,90.37611765,1
764,317,317.1232,9.51,1.902,1.1412,0.7608,2.853,0.951,1.902,30,6.66,3.33,10,66,329.014,4.755,49.01960784,13.7254902,380.4,51.386,35.29411765,86.68011765,1
765,327,327.1232,9.81,1.962,1.1772,0.7848,2.943,0.981,1.962,30,6.66,3.33,10,66,335.734,4.905,49.01960784,13.7254902,392.4,56.666,35.29411765,91.96011765,1
766,273,273.1232,8.19,1.638,0.9828,0.6552,2.457,0.819,1.638,30,6.66,3.33,10,66,299.446,4.095,49.01960784,13.7254902,327.6,28.154,35.29411765,63.44811765,1
767,304,304.1232,9.12,1.824,1.0944,0.7296,2.736,0.912,1.824,30,6.66,3.33,10,66,320.278,4.56,49.01960784,13.7254902,364.8,44.522,35.29411765,79.81611765,1
768,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
769,331,331.1232,9.93,1.986,1.1916,0.7944,2.979,0.993,1.986,30,6.66,3.33,10,66,338.422,4.965,49.01960784,13.7254902,397.2,58.778,35.29411765,94.07211765,1
770,397,397.1232,11.91,2.382,1.4292,0.9528,3.573,1.191,2.382,30,6.66,3.33,10,66,382.774,5.955,49.01960784,13.7254902,476.4,93.626,35.29411765,128.9201176,1
771,239,239.1232,7.17,1.434,0.8604,0.5736,2.151,0.717,1.434,30,6.66,3.33,10,66,276.598,3.585,49.01960784,13.7254902,286.8,10.202,35.29411765,45.49611765,1
772,321,321.1232,9.63,1.926,1.1556,0.7704,2.889,0.963,1.926,30,6.66,3.33,10,66,331.702,4.815,49.01960784,13.7254902,385.2,53.498,35.29411765,88.79211765,1
773,357,357.1232,10.71,2.142,1.2852,0.8568,3.213,1.071,2.142,30,6.66,3.33,10,66,355.894,5.355,49.01960784,13.7254902,428.4,72.506,35.29411765,107.8001176,1
774,389,389.1232,11.67,2.334,1.4004,0.9336,3.501,1.167,2.334,30,6.66,3.33,10,66,377.398,5.835,49.01960784,13.7254902,466.8,89.402,35.29411765,124.6961176,1
775,247,247.1232,7.41,1.482,0.8892,0.5928,2.223,0.741,1.482,30,6.66,3.33,10,66,281.974,3.705,49.01960784,13.7254902,296.4,14.426,35.29411765,49.72011765,1
776,367,367.1232,11.01,2.202,1.3212,0.8808,3.303,1.101,2.202,30,6.66,3.33,10,66,362.614,5.505,49.01960784,13.7254902,440.4,77.786,35.29411765,113.0801176,1
777,278,278.1232,8.34,1.668,1.0008,0.6672,2.502,0.834,1.668,30,6.66,3.33,10,66,302.806,4.17,49.01960784,13.7254902,333.6,30.794,35.29411765,66.08811765,1
778,331,331.1232,9.93,1.986,1.1916,0.7944,2.979,0.993,1.986,30,6.66,3.33,10,66,338.422,4.965,49.01960784,13.7254902,397.2,58.778,35.29411765,94.07211765,1
779,295,295.1232,8.85,1.77,1.062,0.708,2.655,0.885,1.77,30,6.66,3.33,10,66,314.23,4.425,49.01960784,13.7254902,354,39.77,35.29411765,75.06411765,1
780,220,220.1232,6.6,1.32,0.792,0.528,1.98,0.66,1.32,30,6.66,3.33,10,66,263.83,3.3,49.01960784,13.7254902,264,0.17,35.29411765,35.46411765,1
781,267,267.1232,8.01,1.602,0.9612,0.6408,2.403,0.801,1.602,30,6.66,3.33,10,66,295.414,4.005,49.01960784,13.7254902,320.4,24.986,35.29411765,60.28011765,1
782,325,325.1232,9.75,1.95,1.17,0.78,2.925,0.975,1.95,30,6.66,3.33,10,66,334.39,4.875,49.01960784,13.7254902,390,55.61,35.29411765,90.90411765,1
783,314,314.1232,9.42,1.884,1.1304,0.7536,2.826,0.942,1.884,30,6.66,3.33,10,66,326.998,4.71,49.01960784,13.7254902,376.8,49.802,35.29411765,85.09611765,1
784,257,257.1232,7.71,1.542,0.9252,0.6168,2.313,0.771,1.542,30,6.66,3.33,10,66,288.694,3.855,49.01960784,13.7254902,308.4,19.706,35.29411765,55.00011765,1
785,385,385.1232,11.55,2.31,1.386,0.924,3.465,1.155,2.31,30,6.66,3.33,10,66,374.71,5.775,49.01960784,13.7254902,462,87.29,35.29411765,122.5841176,1
786,364,364.1232,10.92,2.184,1.3104,0.8736,3.276,1.092,2.184,30,6.66,3.33,10,66,360.598,5.46,49.01960784,13.7254902,436.8,76.202,35.29411765,111.4961176,1
787,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
788,368,368.1232,11.04,2.208,1.3248,0.8832,3.312,1.104,2.208,30,6.66,3.33,10,66,363.286,5.52,49.01960784,13.7254902,441.6,78.314,35.29411765,113.6081176,1
789,248,248.1232,7.44,1.488,0.8928,0.5952,2.232,0.744,1.488,30,6.66,3.33,10,66,282.646,3.72,49.01960784,13.7254902,297.6,14.954,35.29411765,50.24811765,1
790,275,275.1232,8.25,1.65,0.99,0.66,2.475,0.825,1.65,30,6.66,3.33,10,66,300.79,4.125,49.01960784,13.7254902,330,29.21,35.29411765,64.50411765,1
791,357,357.1232,10.71,2.142,1.2852,0.8568,3.213,1.071,2.142,30,6.66,3.33,10,66,355.894,5.355,49.01960784,13.7254902,428.4,72.506,35.29411765,107.8001176,1
792,392,392.1232,11.76,2.352,1.4112,0.9408,3.528,1.176,2.352,30,6.66,3.33,10,66,379.414,5.88,49.01960784,13.7254902,470.4,90.986,35.29411765,126.2801176,1
793,319,319.1232,9.57,1.914,1.1484,0.7656,2.871,0.957,1.914,30,6.66,3.33,10,66,330.358,4.785,49.01960784,13.7254902,382.8,52.442,35.29411765,87.73611765,1
794,348,348.1232,10.44,2.088,1.2528,0.8352,3.132,1.044,2.088,30,6.66,3.33,10,66,349.846,5.22,49.01960784,13.7254902,417.6,67.754,35.29411765,103.0481176,1
795,274,274.1232,8.22,1.644,0.9864,0.6576,2.466,0.822,1.644,30,6.66,3.33,10,66,300.118,4.11,49.01960784,13.7254902,328.8,28.682,35.29411765,63.97611765,1
796,248,248.1232,7.44,1.488,0.8928,0.5952,2.232,0.744,1.488,30,6.66,3.33,10,66,282.646,3.72,49.01960784,13.7254902,297.6,14.954,35.29411765,50.24811765,1
797,362,362.1232,10.86,2.172,1.3032,0.8688,3.258,1.086,2.172,30,6.66,3.33,10,66,359.254,5.43,49.01960784,13.7254902,434.4,75.146,35.29411765,110.4401176,1
798,385,385.1232,11.55,2.31,1.386,0.924,3.465,1.155,2.31,30,6.66,3.33,10,66,374.71,5.775,49.01960784,13.7254902,462,87.29,35.29411765,122.5841176,1
799,394,394.1232,11.82,2.364,1.4184,0.9456,3.546,1.182,2.364,30,6.66,3.33,10,66,380.758,5.91,49.01960784,13.7254902,472.8,92.042,35.29411765,127.3361176,1
800,382,382.1232,11.46,2.292,1.3752,0.9168,3.438,1.146,2.292,30,6.66,3.33,10,66,372.694,5.73,49.01960784,13.7254902,458.4,85.706,35.29411765,121.0001176,1
801,328,328.1232,9.84,1.968,1.1808,0.7872,2.952,0.984,1.968,30,6.66,3.33,10,66,336.406,4.92,49.01960784,13.7254902,393.6,57.194,35.29411765,92.48811765,1
802,355,355.1232,10.65,2.13,1.278,0.852,3.195,1.065,2.13,30,6.66,3.33,10,66,354.55,5.325,49.01960784,13.7254902,426,71.45,35.29411765,106.7441176,1
803,270,270.1232,8.1,1.62,0.972,0.648,2.43,0.81,1.62,30,6.66,3.33,10,66,297.43,4.05,49.01960784,13.7254902,324,26.57,35.29411765,61.86411765,1
804,332,332.1232,9.96,1.992,1.1952,0.7968,2.988,0.996,1.992,30,6.66,3.33,10,66,339.094,4.98,49.01960784,13.7254902,398.4,59.306,35.29411765,94.60011765,1
805,296,296.1232,8.88,1.776,1.0656,0.7104,2.664,0.888,1.776,30,6.66,3.33,10,66,314.902,4.44,49.01960784,13.7254902,355.2,40.298,35.29411765,75.59211765,1
806,308,308.1232,9.24,1.848,1.1088,0.7392,2.772,0.924,1.848,30,6.66,3.33,10,66,322.966,4.62,49.01960784,13.7254902,369.6,46.634,35.29411765,81.92811765,1
807,399,399.1232,11.97,2.394,1.4364,0.9576,3.591,1.197,2.394,30,6.66,3.33,10,66,384.118,5.985,49.01960784,13.7254902,478.8,94.682,35.29411765,129.9761176,1
808,379,379.1232,11.37,2.274,1.3644,0.9096,3.411,1.137,2.274,30,6.66,3.33,10,66,370.678,5.685,49.01960784,13.7254902,454.8,84.122,35.29411765,119.4161176,1
809,374,374.1232,11.22,2.244,1.3464,0.8976,3.366,1.122,2.244,30,6.66,3.33,10,66,367.318,5.61,49.01960784,13.7254902,448.8,81.482,35.29411765,116.7761176,1
810,299,299.1232,8.97,1.794,1.0764,0.7176,2.691,0.897,1.794,30,6.66,3.33,10,66,316.918,4.485,49.01960784,13.7254902,358.8,41.882,35.29411765,77.17611765,1
811,398,398.1232,11.94,2.388,1.4328,0.9552,3.582,1.194,2.388,30,6.66,3.33,10,66,383.446,5.97,49.01960784,13.7254902,477.6,94.154,35.29411765,129.4481176,1
812,256,256.1232,7.68,1.536,0.9216,0.6144,2.304,0.768,1.536,30,6.66,3.33,10,66,288.022,3.84,49.01960784,13.7254902,307.2,19.178,35.29411765,54.47211765,1
813,399,399.1232,11.97,2.394,1.4364,0.9576,3.591,1.197,2.394,30,6.66,3.33,10,66,384.118,5.985,49.01960784,13.7254902,478.8,94.682,35.29411765,129.9761176,1
814,313,313.1232,9.39,1.878,1.1268,0.7512,2.817,0.939,1.878,30,6.66,3.33,10,66,326.326,4.695,49.01960784,13.7254902,375.6,49.274,35.29411765,84.56811765,1
815,393,393.1232,11.79,2.358,1.4148,0.9432,3.537,1.179,2.358,30,6.66,3.33,10,66,380.086,5.895,49.01960784,13.7254902,471.6,91.514,35.29411765,126.8081176,1
816,297,297.1232,8.91,1.782,1.0692,0.7128,2.673,0.891,1.782,30,6.66,3.33,10,66,315.574,4.455,49.01960784,13.7254902,356.4,40.826,35.29411765,76.12011765,1
817,387,387.1232,11.61,2.322,1.3932,0.9288,3.483,1.161,2.322,30,6.66,3.33,10,66,376.054,5.805,49.01960784,13.7254902,464.4,88.346,35.29411765,123.6401176,1
818,388,388.1232,11.64,2.328,1.3968,0.9312,3.492,1.164,2.328,30,6.66,3.33,10,66,376.726,5.82,49.01960784,13.7254902,465.6,88.874,35.29411765,124.1681176,1
819,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
820,287,287.1232,8.61,1.722,1.0332,0.6888,2.583,0.861,1.722,30,6.66,3.33,10,66,308.854,4.305,49.01960784,13.7254902,344.4,35.546,35.29411765,70.84011765,1
821,334,334.1232,10.02,2.004,1.2024,0.8016,3.006,1.002,2.004,30,6.66,3.33,10,66,340.438,5.01,49.01960784,13.7254902,400.8,60.362,35.29411765,95.65611765,1
822,345,345.1232,10.35,2.07,1.242,0.828,3.105,1.035,2.07,30,6.66,3.33,10,66,347.83,5.175,49.01960784,13.7254902,414,66.17,35.29411765,101.4641176,1
823,388,388.1232,11.64,2.328,1.3968,0.9312,3.492,1.164,2.328,30,6.66,3.33,10,66,376.726,5.82,49.01960784,13.7254902,465.6,88.874,35.29411765,124.1681176,1
824,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
825,391,391.1232,11.73,2.346,1.4076,0.9384,3.519,1.173,2.346,30,6.66,3.33,10,66,378.742,5.865,49.01960784,13.7254902,469.2,90.458,35.29411765,125.7521176,1
826,275,275.1232,8.25,1.65,0.99,0.66,2.475,0.825,1.65,30,6.66,3.33,10,66,300.79,4.125,49.01960784,13.7254902,330,29.21,35.29411765,64.50411765,1
827,289,289.1232,8.67,1.734,1.0404,0.6936,2.601,0.867,1.734,30,6.66,3.33,10,66,310.198,4.335,49.01960784,13.7254902,346.8,36.602,35.29411765,71.89611765,1
828,275,275.1232,8.25,1.65,0.99,0.66,2.475,0.825,1.65,30,6.66,3.33,10,66,300.79,4.125,49.01960784,13.7254902,330,29.21,35.29411765,64.50411765,1
829,236,236.1232,7.08,1.416,0.8496,0.5664,2.124,0.708,1.416,30,6.66,3.33,10,66,274.582,3.54,49.01960784,13.7254902,283.2,8.618,35.29411765,43.91211765,1
830,328,328.1232,9.84,1.968,1.1808,0.7872,2.952,0.984,1.968,30,6.66,3.33,10,66,336.406,4.92,49.01960784,13.7254902,393.6,57.194,35.29411765,92.48811765,1
831,322,322.1232,9.66,1.932,1.1592,0.7728,2.898,0.966,1.932,30,6.66,3.33,10,66,332.374,4.83,49.01960784,13.7254902,386.4,54.026,35.29411765,89.32011765,1
832,311,311.1232,9.33,1.866,1.1196,0.7464,2.799,0.933,1.866,30,6.66,3.33,10,66,324.982,4.665,49.01960784,13.7254902,373.2,48.218,35.29411765,83.51211765,1
833,383,383.1232,11.49,2.298,1.3788,0.9192,3.447,1.149,2.298,30,6.66,3.33,10,66,373.366,5.745,49.01960784,13.7254902,459.6,86.234,35.29411765,121.5281176,1
834,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
835,396,396.1232,11.88,2.376,1.4256,0.9504,3.564,1.188,2.376,30,6.66,3.33,10,66,382.102,5.94,49.01960784,13.7254902,475.2,93.098,35.29411765,128.3921176,1
836,294,294.1232,8.82,1.764,1.0584,0.7056,2.646,0.882,1.764,30,6.66,3.33,10,66,313.558,4.41,49.01960784,13.7254902,352.8,39.242,35.29411765,74.53611765,1
837,354,354.1232,10.62,2.124,1.2744,0.8496,3.186,1.062,2.124,30,6.66,3.33,10,66,353.878,5.31,49.01960784,13.7254902,424.8,70.922,35.29411765,106.2161176,1
838,336,336.1232,10.08,2.016,1.2096,0.8064,3.024,1.008,2.016,30,6.66,3.33,10,66,341.782,5.04,49.01960784,13.7254902,403.2,61.418,35.29411765,96.71211765,1
839,272,272.1232,8.16,1.632,0.9792,0.6528,2.448,0.816,1.632,30,6.66,3.33,10,66,298.774,4.08,49.01960784,13.7254902,326.4,27.626,35.29411765,62.92011765,1
840,298,298.1232,8.94,1.788,1.0728,0.7152,2.682,0.894,1.788,30,6.66,3.33,10,66,316.246,4.47,49.01960784,13.7254902,357.6,41.354,35.29411765,76.64811765,1
841,343,343.1232,10.29,2.058,1.2348,0.8232,3.087,1.029,2.058,30,6.66,3.33,10,66,346.486,5.145,49.01960784,13.7254902,411.6,65.114,35.29411765,100.4081176,1
842,318,318.1232,9.54,1.908,1.1448,0.7632,2.862,0.954,1.908,30,6.66,3.33,10,66,329.686,4.77,49.01960784,13.7254902,381.6,51.914,35.29411765,87.20811765,1
843,372,372.1232,11.16,2.232,1.3392,0.8928,3.348,1.116,2.232,30,6.66,3.33,10,66,365.974,5.58,49.01960784,13.7254902,446.4,80.426,35.29411765,115.7201176,1
844,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
845,277,277.1232,8.31,1.662,0.9972,0.6648,2.493,0.831,1.662,30,6.66,3.33,10,66,302.134,4.155,49.01960784,13.7254902,332.4,30.266,35.29411765,65.56011765,1
846,319,319.1232,9.57,1.914,1.1484,0.7656,2.871,0.957,1.914,30,6.66,3.33,10,66,330.358,4.785,49.01960784,13.7254902,382.8,52.442,35.29411765,87.73611765,1
847,364,364.1232,10.92,2.184,1.3104,0.8736,3.276,1.092,2.184,30,6.66,3.33,10,66,360.598,5.46,49.01960784,13.7254902,436.8,76.202,35.29411765,111.4961176,1
848,364,364.1232,10.92,2.184,1.3104,0.8736,3.276,1.092,2.184,30,6.66,3.33,10,66,360.598,5.46,49.01960784,13.7254902,436.8,76.202,35.29411765,111.4961176,1
849,321,321.1232,9.63,1.926,1.1556,0.7704,2.889,0.963,1.926,30,6.66,3.33,10,66,331.702,4.815,49.01960784,13.7254902,385.2,53.498,35.29411765,88.79211765,1
850,324,324.1232,9.72,1.944,1.1664,0.7776,2.916,0.972,1.944,30,6.66,3.33,10,66,333.718,4.86,49.01960784,13.7254902,388.8,55.082,35.29411765,90.37611765,1
851,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
852,277,277.1232,8.31,1.662,0.9972,0.6648,2.493,0.831,1.662,30,6.66,3.33,10,66,302.134,4.155,49.01960784,13.7254902,332.4,30.266,35.29411765,65.56011765,1
853,269,269.1232,8.07,1.614,0.9684,0.6456,2.421,0.807,1.614,30,6.66,3.33,10,66,296.758,4.035,49.01960784,13.7254902,322.8,26.042,35.29411765,61.33611765,1
854,395,395.1232,11.85,2.37,1.422,0.948,3.555,1.185,2.37,30,6.66,3.33,10,66,381.43,5.925,49.01960784,13.7254902,474,92.57,35.29411765,127.8641176,1
855,397,397.1232,11.91,2.382,1.4292,0.9528,3.573,1.191,2.382,30,6.66,3.33,10,66,382.774,5.955,49.01960784,13.7254902,476.4,93.626,35.29411765,128.9201176,1
856,369,369.1232,11.07,2.214,1.3284,0.8856,3.321,1.107,2.214,30,6.66,3.33,10,66,363.958,5.535,49.01960784,13.7254902,442.8,78.842,35.29411765,114.1361176,1
857,242,242.1232,7.26,1.452,0.8712,0.5808,2.178,0.726,1.452,30,6.66,3.33,10,66,278.614,3.63,49.01960784,13.7254902,290.4,11.786,35.29411765,47.08011765,1
858,263,263.1232,7.89,1.578,0.9468,0.6312,2.367,0.789,1.578,30,6.66,3.33,10,66,292.726,3.945,49.01960784,13.7254902,315.6,22.874,35.29411765,58.16811765,1
859,300,300.1232,9,1.8,1.08,0.72,2.7,0.9,1.8,30,6.66,3.33,10,66,317.59,4.5,49.01960784,13.7254902,360,42.41,35.29411765,77.70411765,1
860,278,278.1232,8.34,1.668,1.0008,0.6672,2.502,0.834,1.668,30,6.66,3.33,10,66,302.806,4.17,49.01960784,13.7254902,333.6,30.794,35.29411765,66.08811765,1
861,246,246.1232,7.38,1.476,0.8856,0.5904,2.214,0.738,1.476,30,6.66,3.33,10,66,281.302,3.69,49.01960784,13.7254902,295.2,13.898,35.29411765,49.19211765,1
862,348,348.1232,10.44,2.088,1.2528,0.8352,3.132,1.044,2.088,30,6.66,3.33,10,66,349.846,5.22,49.01960784,13.7254902,417.6,67.754,35.29411765,103.0481176,1
863,282,282.1232,8.46,1.692,1.0152,0.6768,2.538,0.846,1.692,30,6.66,3.33,10,66,305.494,4.23,49.01960784,13.7254902,338.4,32.906,35.29411765,68.20011765,1
864,388,388.1232,11.64,2.328,1.3968,0.9312,3.492,1.164,2.328,30,6.66,3.33,10,66,376.726,5.82,49.01960784,13.7254902,465.6,88.874,35.29411765,124.1681176,1
865,274,274.1232,8.22,1.644,0.9864,0.6576,2.466,0.822,1.644,30,6.66,3.33,10,66,300.118,4.11,49.01960784,13.7254902,328.8,28.682,35.29411765,63.97611765,1
866,280,280.1232,8.4,1.68,1.008,0.672,2.52,0.84,1.68,30,6.66,3.33,10,66,304.15,4.2,49.01960784,13.7254902,336,31.85,35.29411765,67.14411765,1
867,354,354.1232,10.62,2.124,1.2744,0.8496,3.186,1.062,2.124,30,6.66,3.33,10,66,353.878,5.31,49.01960784,13.7254902,424.8,70.922,35.29411765,106.2161176,1
868,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
869,341,341.1232,10.23,2.046,1.2276,0.8184,3.069,1.023,2.046,30,6.66,3.33,10,66,345.142,5.115,49.01960784,13.7254902,409.2,64.058,35.29411765,99.35211765,1
870,389,389.1232,11.67,2.334,1.4004,0.9336,3.501,1.167,2.334,30,6.66,3.33,10,66,377.398,5.835,49.01960784,13.7254902,466.8,89.402,35.29411765,124.6961176,1
871,326,326.1232,9.78,1.956,1.1736,0.7824,2.934,0.978,1.956,30,6.66,3.33,10,66,335.062,4.89,49.01960784,13.7254902,391.2,56.138,35.29411765,91.43211765,1
872,267,267.1232,8.01,1.602,0.9612,0.6408,2.403,0.801,1.602,30,6.66,3.33,10,66,295.414,4.005,49.01960784,13.7254902,320.4,24.986,35.29411765,60.28011765,1
873,353,353.1232,10.59,2.118,1.2708,0.8472,3.177,1.059,2.118,30,6.66,3.33,10,66,353.206,5.295,49.01960784,13.7254902,423.6,70.394,35.29411765,105.6881176,1
874,316,316.1232,9.48,1.896,1.1376,0.7584,2.844,0.948,1.896,30,6.66,3.33,10,66,328.342,4.74,49.01960784,13.7254902,379.2,50.858,35.29411765,86.15211765,1
875,272,272.1232,8.16,1.632,0.9792,0.6528,2.448,0.816,1.632,30,6.66,3.33,10,66,298.774,4.08,49.01960784,13.7254902,326.4,27.626,35.29411765,62.92011765,1
876,301,301.1232,9.03,1.806,1.0836,0.7224,2.709,0.903,1.806,30,6.66,3.33,10,66,318.262,4.515,49.01960784,13.7254902,361.2,42.938,35.29411765,78.23211765,1
877,329,329.1232,9.87,1.974,1.1844,0.7896,2.961,0.987,1.974,30,6.66,3.33,10,66,337.078,4.935,49.01960784,13.7254902,394.8,57.722,35.29411765,93.01611765,1
878,235,235.1232,7.05,1.41,0.846,0.564,2.115,0.705,1.41,30,6.66,3.33,10,66,273.91,3.525,49.01960784,13.7254902,282,8.09,35.29411765,43.38411765,1
879,327,327.1232,9.81,1.962,1.1772,0.7848,2.943,0.981,1.962,30,6.66,3.33,10,66,335.734,4.905,49.01960784,13.7254902,392.4,56.666,35.29411765,91.96011765,1
880,335,335.1232,10.05,2.01,1.206,0.804,3.015,1.005,2.01,30,6.66,3.33,10,66,341.11,5.025,49.01960784,13.7254902,402,60.89,35.29411765,96.18411765,1
